7_days,14_days,target
3.6185714285714283,3.9285714285714284,5.0
3.142857142857143,3.6671428571428573,5.0
3.0471428571428567,3.690714285714286,7.0
3.617142857142857,3.9050000000000002,3.0
4.094285714285713,4.333571428571429,5.67
4.237142857142857,4.333571428571429,6.0
4.571428571428571,4.190714285714286,3.0
4.762857142857143,4.190714285714286,5.68
5.0,4.071428571428571,5.33
5.524285714285715,4.285714285714286,9.66
4.905714285714287,4.261428571428572,7.34
4.572857142857144,4.333571428571429,4.0
5.001428571428572,4.619285714285715,6.0
4.952857142857143,4.762142857142857,6.33
5.049999999999999,4.906428571428571,14.0
5.097142857142857,5.048571428571428,3.0
5.477142857142857,5.500714285714286,4.66
6.097142857142857,5.501428571428571,8.33
5.858571428571429,5.215714285714285,5.0
5.858571428571429,5.43,2.33
6.3342857142857145,5.643571428571428,5.0
7.522857142857142,6.286428571428571,3.68
7.1899999999999995,6.143571428571428,6.34
6.475714285714285,5.976428571428571,6.0
6.617142857142857,6.357142857142857,3.0
6.76,6.309285714285714,4.34
6.235714285714286,6.047142857142857,6.0
6.045714285714285,6.1899999999999995,1.67
4.571428571428571,6.047142857142858,2.33
5.048571428571429,6.119285714285715,5.0
5.24,5.857857142857142,4.0
4.478571428571429,5.547857142857143,7.0
4.384285714285714,5.5721428571428575,3.66
4.908571428571428,5.5721428571428575,3.0
4.432857142857143,5.239285714285715,5.33
4.24,4.405714285714286,9.34
4.048571428571429,4.548571428571429,9.34
3.762857142857143,4.501428571428571,5.17
4.3342857142857145,4.406428571428571,4.67
4.2371428571428575,4.310714285714285,3.83
3.8085714285714287,4.3585714285714285,6.33
4.331428571428572,4.382142857142857,7.17
5.332857142857143,4.786428571428572,7.33
5.952857142857143,5.0007142857142854,5.34
6.12,4.941428571428571,5.68
5.7871428571428565,5.060714285714285,1.0
5.8114285714285705,5.024285714285713,8.83
6.2871428571428565,5.047857142857143,3.0
6.549999999999999,5.440714285714286,5.5
6.262857142857143,5.797857142857143,7.35
5.691428571428571,5.822142857142857,5.0
5.764285714285714,5.942142857142857,5.5
5.24,5.513571428571429,4.84
5.954285714285713,5.882857142857143,2.0
5.478571428571428,5.882857142857143,2.34
5.24,5.8950000000000005,5.5
5.242857142857143,5.752857142857143,4.0
5.194285714285714,5.442857142857143,6.33
5.168571428571428,5.466428571428572,3.68
5.717142857142856,5.478571428571429,0.34
4.741428571428571,5.347857142857143,8.49
4.647142857142858,5.062857142857143,8.34
4.647142857142858,4.943571428571429,2.5
4.168571428571428,4.7057142857142855,3.68
4.3585714285714285,4.776428571428572,11.68
4.098571428571428,4.633571428571429,5.84
3.455714285714286,4.586428571428572,4.68
4.382857142857143,4.562142857142858,9.33
5.24,4.943571428571429,1.5
4.811428571428571,4.729285714285715,6.0
4.765714285714286,4.467142857142857,4.0
5.53,4.944285714285714,5.0
5.838571428571428,4.968571428571429,7.34
6.458571428571427,4.957142857142856,14.18
6.578571428571428,5.480714285714285,10.34
5.6014285714285705,5.4207142857142845,3.0
6.1014285714285705,5.45642857142857,5.5
6.147142857142858,5.45642857142857,5.0
5.192857142857142,5.361428571428571,5.0
